Remote Branch Name To Archive,Tag Name
Adding_GDD,adding-scrolling-on-highlighted-ui
Adding_Options_Dialog,adding-options-dialog
Audio_Mixer_Integration,audio-mixer-integration
BuildUpgrade,build-upgrade
CameraEffects,camera-effects
DomainListUpdate2018.1,domain-list-update-2018.1
FixTranslatedTextMeshPro,fix-translated-text-mesh-pro
Fix_Licensing,fix-licensing
GUI,gui
GameSettings_Update,game-settings-update
MergeChangesFromPrototypeAirwaves,Merge-changes-from-prototype-airwaves
NestedMenuPrefabs,nested-menu-prefabs
New_Loading_Screen,new-loading-screen
New_Shader_Graphs,new-shader-graphs
PoolingManagerOptimization,pooling-manager-optimization
Refactoring_Folders,refactoring-folders
SocialMediaButtons,social-media-buttons
TranslationsUpgrade,translations-upgrade
Unity_5.5.x_integration,unity-5.5.x-integration
UpgradeCreditsTo2018.1,upgrade-credits-to-2018.1
UpgradeMainMenuTo2018.1,upgrade-main-menu-to-2018.1
UpgradePauseMenuTo2018.1,upgrade-pause-menu-to-2018.1
UpgradeTo2018.1,upgrade-to-2018.1
Upgrade_To_2019.1,upgrade-to-2019.1
WebLocationChecker_Update,web-location-checker-update
feature/Template_-_Achievements_and_Leaderboard_Integration,feature/Template_-_Achievements_and_Leaderboard_Integration
feature/Template_-_Camera_Effects,feature/Template_-_Camera_Effects
feature/Template_-_Changes_From_Codename_Airwaves,feature/Template_-_Changes_From_Codename_Airwaves
feature/Template_-_Shader_Graphs,feature/Template_-_Shader_Graphs
feature/Template_-_Translations_Upgrades,feature/Template_-_Translations_Upgrades
